Length,Curl,KinkIndex,NumberKink,TotalKinkAngle,Width
 0.144,  0.05,  0.00,0,  0.00,     0
 0.380,  0.04,  0.00,0,  0.00,    61
 0.191,  0.01,  0.00,0,  0.00,     0
 0.666,  0.05,  1.50,1, 25.75,    25
 0.041,  0.00,  0.00,0,  0.00,     0
 0.246,  0.07,  0.00,0,  0.00,    37
 0.131,  0.00,  0.00,0,  0.00,     0
 0.388,  0.03,  0.00,0,  0.00,    24
 0.426,  0.02,  0.00,0,  0.00,    26
 0.339,  0.02,  0.00,0,  0.00,     0
 0.278,  0.02,  0.00,0,  0.00,    26
 0.081,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.223,  0.03,  0.00,0,  0.00,    49
 0.238,  0.03,  0.00,0,  0.00,    33
 0.054,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.147,  0.04,  0.00,0,  0.00,     0
 0.290,  0.02,  0.00,0,  0.00,    26
 0.315,  0.01,  0.00,0,  0.00,    21
 0.068,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.087,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.315,  0.01,  0.00,0,  0.00,    18
 0.156,  0.07,  0.00,0,  0.00,     0
 1.276,  1.90,  6.27,2,315.92,   229
 0.359,  0.02,  0.00,0,  0.00,    43
 0.100,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.374,  0.16,  0.00,0,  0.00,    37
 0.222,  0.36,  0.00,0,  0.00,     0
 0.092,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.379,  0.28,  0.00,0,  0.00,    46
 0.041,  0.00,  0.00,0,  0.00,     0
 0.318,  0.21,  0.00,0,  0.00,    32
 0.068,  0.00,  0.00,0,  0.00,     0
 0.342,  0.01,  0.00,0,  0.00,    25
 0.319,  0.18,  0.00,0,  0.00,    49
 0.068,  0.00,  0.00,0,  0.00,     0
 0.948,  0.12,  2.11,1, 37.41,    27
 0.068,  0.00,  0.00,0,  0.00,     0
 0.113,  0.00,  0.00,0,  0.00,     0
 0.839,  0.05,  2.38,1, 26.24,    23
 0.348,  0.08,  0.00,0,  0.00,     0
 0.115,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.521,  0.04,  3.84,1, 32.01,    26
 0.492,  0.22,  0.00,0,  0.00,    54
 0.142,  0.03,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.308,  0.04,  0.00,0,  0.00,    39
 0.767,  0.03,  2.61,1, 24.73,    39
 0.921,  0.02,  0.00,0,  0.00,    29
 0.362,  0.03,  0.00,0,  0.00,    70
 0.313,  0.30,  0.00,0,  0.00,     0
 0.201,  0.04,  0.00,0,  0.00,    44
 0.227,  0.04,  0.00,0,  0.00,    42
 0.041,  0.00,  0.00,0,  0.00,     0
 0.116,  0.00,  0.00,0,  0.00,     0
 0.141,  0.04,  0.00,0,  0.00,     0
 1.081,  0.02,  0.00,0,  0.00,    41
 0.358,  0.02,  0.00,0,  0.00,    20
 0.100,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.378,  0.02,  0.00,0,  0.00,    23
 0.250,  0.02,  0.00,0,  0.00,    25
 0.239,  0.03,  0.00,0,  0.00,    33
 0.041,  0.00,  0.00,0,  0.00,     0
 0.142,  0.03,  0.00,0,  0.00,     0
 0.863,  0.02,  0.00,0,  0.00,    17
 0.132,  0.00,  0.00,0,  0.00,     0
 0.211,  0.03,  0.00,0,  0.00,    31
 0.142,  0.03,  0.00,0,  0.00,     0
 0.158,  0.04,  0.00,0,  0.00,     0
 0.113,  0.00,  0.00,0,  0.00,     0
 0.317,  0.02,  0.00,0,  0.00,    33
 0.217,  0.05,  0.00,0,  0.00,    35
 0.054,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.155,  0.04,  0.00,0,  0.00,     0
 0.607,  0.01,  0.00,0,  0.00,    66
 0.493,  0.21,  0.00,0,  0.00,    48
 0.195,  0.34,  0.00,0,  0.00,     0
 0.239,  0.02,  0.00,0,  0.00,    23
 0.143,  0.12,  0.00,0,  0.00,     0
 0.472,  0.03,  2.12,1, 22.00,    45
 0.041,  0.00,  0.00,0,  0.00,     0
 0.375,  0.16,  0.00,0,  0.00,    35
 0.195,  0.03,  0.00,0,  0.00,    17
 0.213,  0.05,  0.00,0,  0.00,    46
 0.114,  0.00,  0.00,0,  0.00,     0
